36 18 37 18 => 2 19
36 18 37 18 => 4 18
36 18 37 18 => 12 18
36 18 37 18 => 24 156
36 18 37 18 => 6 15
36 18 37 18 => 30 22
36 18 37 18 => 10 14
36 18 37 18 => 14 39
36 18 37 18 => 9 38
36 18 37 18 => 5 31
30 36 18 => 13 11
30 36 18 => 37 29
33 37 18 23 => 26 13
33 36 18 => 37 41
33 36 => 18 59
29 37 18 => 24 13
29 37 18 => 5 13
29 37 18 => 37 291
29 37 18 => 21 13
29 37 18 => 29 96
29 37 18 => 36 102
29 37 18 => 9 23
22 36 => 18 90
32 31 => 37 23
22 18 => 37 39
17 37 => 18 67
16 26 23 => 37 16
11 0 => 37 23
12 37 => 18 52
8 37 18 => 36 12
8 37 18 => 24 15
8 37 18 => 37 96
31 17 => 32 12
16 => 24 31
16 => 26 97
16 => 37 195
16 => 36 109
16 => 18 59
16 => 23 56
4 36 21 => 36 14
4 36 21 => 33 17
32 18 => 37 18
24 12 => 36 16
24 12 => 27 51
4 37 18 => 36 10
4 37 18 => 37 32
18 10 24 => 37 10
30 37 => 18 176
15 36 => 7 14
15 36 => 18 18
15 36 => 25 12
16 36 23 => 37 20
36 18 17 => 31 18
36 18 17 => 37 10
11 36 18 => 37 14
14 18 37 => 18 80
37 18 37 18 24 18 => 30 12
37 18 37 18 24 18 => 37 16
24 6 36 => 34 18
36 28 => 36 14
36 28 => 37 24
20 36 18 => 37 40
24 21 36 => 4 13
36 18 0 11 => 20 18
22 9 36 => 18 15
18 37 18 11 => 0 11
36 32 => 36 20
36 32 => 37 45
28 37 => 18 242
16 26 => 36 15
16 26 => 18 10
16 26 => 23 21
16 26 => 37 43
20 36 => 18 52
9 36 => 18 52
9 36 => 22 36
7 => 15 14
7 => 24 26
7 => 25 21
7 => 37 200
7 => 36 57
7 => 18 27
34 37 18 37 18 => 36 14
34 37 18 37 18 => 24 30
34 37 18 37 18 => 37 96
34 37 18 37 18 => 4 26
19 37 18 37 18 => 36 36
19 37 18 37 18 => 37 230
19 37 18 37 18 => 19 49
28 => 24 53
28 => 37 244
28 => 12 27
28 => 36 81
28 => 27 29
28 => 18 69
24 0 11 => 36 12
24 0 11 => 20 23
21 => 4 51
21 => 24 19
21 => 33 200
21 => 26 15
21 => 37 165
21 => 36 208
21 => 18 63
21 => 23 13
19 18 => 36 15
19 18 => 24 10
19 18 => 37 46
2 => 24 33
2 => 5 11
2 => 37 200
2 => 10 159
2 => 36 124
2 => 18 88
24 12 27 28 => 37 29
24 23 26 => 16 15
36 4 => 36 35
36 4 => 33 28
36 4 => 37 18
36 4 => 21 16
20 37 => 18 159
21 4 33 => 37 19
30 37 18 37 18 37 => 18 77
22 37 18 => 36 12
22 37 18 => 37 149
16 23 => 18 10
16 23 => 37 30
9 37 18 => 36 16
9 37 18 => 37 78
37 18 2 => 10 92
37 18 2 => 36 26
37 18 2 => 24 17
37 18 2 => 18 32
37 18 2 => 37 53
24 22 => 9 30
17 31 36 => 32 36
18 36 5 => 37 10
4 36 18 => 36 11
4 36 18 => 37 12
24 0 11 20 => 37 14
36 8 => 37 11
36 17 => 31 16
36 17 => 32 11
36 17 => 37 11
15 37 18 => 19 11
15 37 18 => 37 36
24 36 => 2 23
24 36 => 13 10
24 36 => 18 380
24 36 => 6 12
24 36 => 0 11
15 37 => 18 64
14 18 => 24 42
14 18 => 6 35
14 18 => 37 81
14 18 => 36 31
14 18 => 34 12
14 18 => 3 45
14 18 => 5 69
28 37 18 => 36 17
28 37 18 => 24 15
28 37 18 => 12 12
28 37 18 => 17 19
28 37 18 => 37 159
11 36 => 18 29
11 36 => 20 28
30 37 18 37 18 => 37 77
14 18 5 36 => 3 10
2 37 18 => 14 18
2 37 18 => 36 11
2 37 18 => 24 15
2 37 18 => 37 118
34 6 => 36 18
34 6 => 37 34
29 23 => 26 17
7 18 => 37 15
22 => 36 116
22 => 24 98
22 => 18 69
22 => 9 107
22 => 37 203
2 37 18 37 18 37 => 18 66
24 34 => 6 15
24 34 => 37 22
36 18 15 => 25 12
34 18 => 37 27
