source,target,value
37|7,18|37.7,1
18|37.18.37.20,37|18.37.18.37,0.8333333333
18|37.18.37.20,19|,0.1666666667
18|36.32,37|18.36,1
36|23,16|36,0.1496062992
36|23,26|36.23,0.3149606299
36|23,18|36.23,0.5354330709
18|36.30,37|18.36,0.725
18|36.30,13|18.36,0.275
23|18.37.33,26|23,1
18|37.32,37|18.37.32,0.6141304348
18|37.32,24|18,0.0923913043
18|37.32,0|18.37.32,0.1793478261
18|37.32,36|18,0.1141304348
18|36.33,37|18.36,1
36|33,18|36.33,1
18|37.29,5|,0.0235934664
18|37.29,29|,0.1742286751
18|37.29,9|18.37.29,0.0417422868
18|37.29,37|18.37,0.5281306715
18|37.29,21|18,0.0235934664
18|37.29,24|18,0.0235934664
18|37.29,36|18.37.29,0.1851179673
5|14,3|5,1
24|18.14,37|24,1
24|6,34|24,1
33|21,18|33,0.1413612565
33|21,36|33,0.1623036649
33|21,24|33,0.1623036649
33|21,37|33,0.5340314136
23|26.16,37|23,1
18|37.17,36|18,0.2702702703
18|37.17,37|18.37,0.7297297297
37|12,18|37.12,1
18|37.8,37|18.37,0.7804878049
18|37.8,36|18,0.0975609756
18|37.8,24|18,0.1219512195
17|31,32|,1
21|18,33|21.18,0.0977777778
21|18,37|,0.28
21|18,18|21,0.12
21|18,4|21,0.1511111111
21|18,36|21,0.3511111111
21|36.4,33|21,0.5483870968
21|36.4,36|21.36.4,0.4516129032
18|37.18.37.26,29|,0.2075471698
18|37.18.37.26,37|18.37.18.37,0.7924528302
12|24,27|12.24,0.7611940299
12|24,36|12,0.2388059701
18|37.4,36|18,0.2380952381
18|37.4,37|18.37,0.7619047619
37|30,18|37.30,1
36|15,25|,0.2727272727
36|15,7|36,0.3181818182
36|15,18|36,0.4090909091
18|10.2.18,24|18,1
37|18.37,18|37.18.37,1
18|36.11,37|18.36,1
11|,20|,0.4394785847
11|,18|11,0.0707635009
11|,0|11,0.0837988827
11|,36|11,0.1452513966
11|,24|,0.0316573557
11|,37|11,0.2290502793
18|24.18.37.18.37,30|18,0.4285714286
18|24.18.37.18.37,37|18,0.5714285714
36|6.24,34|36,1
28|36,36|28,0.3684210526
28|36,37|28,0.6315789474
18|36.20,37|18.36,1
36|21.24,4|36.21,1
11|0.18.36,20|,1
24|18.2,37|24,1
11|18.37.18,0|11,1
8|13.18.36,37|8,1
37|28,18|37.28,1
36|20,18|36.20,1
36|9,22|36.9,0.4090909091
