source,target,value
12|36.19.20,37|12.36.19.20,3
12|36.19.20,9|12.36,1
12|36.19.20,20|12.36,1
31|13,12|31.13,1
37|20,19|37.20,1
37|20,32|37,1
37|20,9|37,1
37|20,12|37.20,20
7|36.12,25|7,1
7|36.12,32|7,1
7|36.12,37|7.36,5
7|36.12,18|7.36,2
36|12.37.12.28,12|36.12.37.12.28,1
12|37.33.25.12,37|12.37.33.25.12,3
12|37.33.25.12,25|12.37.33,1
12|37.33.25.12,2|12.37.33,1
12|37.33.25.12,26|12,1
37|6.9,12|37.6.9,1
4|12.37.16,23|4.12,1
37|29,1|37,2
37|29,6|37,1
37|29,12|37.29,11
12|13.11.0,15|12.13,1
37|3,24|37,3
37|3,12|37.3,7
12|37.8.12.37.12.36,25|12.37.8,3
12|37.8.12.37.12.36,9|12.37.8,1
12|37.8.12.37.12.36,8|12.37.8,5
12|37.8.12.37.12.36,36|12.37.8,3
12|37.8.12.37.12.36,18|12.37.8,1
12|37.8.12.37.12.36,37|12.37.8.12.37.12.36,17
12|37.8.12.37.12.36,1|12.37,1
12|37.8.12.37.12.36,11|12.37.8,2
12|37.8.12.37.12.36,3|12,1
17|13,37|17.13,1
37|7.12.0,12|37.7.12.0,1
33|36.8,36|33.36,1
33|36.8,23|33,1
12|37.12.37.12.30.10.12,23|12,2
12|37.12.37.12.30.10.12,5|12,1
12|37.12.37.12.30.10.12,37|12.37.12,2
12|37.12.37.12.30.10.12,30|12.37,1
37|13.11.36,12|37.13.11.36,1
25|21,37|25.21,30
25|21,12|25.21,1
25|21,15|25,1
25|21,36|25.21,1
25|21,0|25.21,2
12|36.12.13.36,1|12.36.12,1
15|36,0|15.36,1
15|36,22|15,1
15|36,37|15,8
15|36,36|15,11
15|36,12|15.36,1
15|36,21|15,25
15|36,1|15,1
15|36,13|15,1
15|36,19|15,1
15|36,6|15,1
12|37.12.37.0.6,7|12.37,1
12|37.28.12,37|12.37.28.12,9
12|37.28.12,30|12.37.28,1
12|37.28.12,22|12.37,1
25|12.37.12.37.12.1,15|25,2
25|12.37.12.37.12.1,0|25,3
25|12.37.12.37.12.1,37|25.12.37,1
12|36.9.29,0|12.36,1
12|36.9.29,9|12.36.9,1
36|20.12.0,12|36.20.12.0,1
36|8.12.37.12.5,18|36.8,1
12|37.24.25,25|12.37.24,1
12|37.24.25,27|12,1
12|37.24.25,36|12.37.24,1
12|37.24.25,37|12.37.24.25,4
37|12.37.25.28,12|37.12.37.25.28,2
36|12.3,12|36.12,1
36|12.3,9|36.12.3,1
12|37.20.37,37|12.37.20,2
12|37.20.37,36|12.37.20.37,1
37|12.37.16.4,16|37,1
3|12.36.27,10|3,1
0|12.37.1,9|0,1
0|12.37.1,36|0,2
0|12.37.1,37|0.12.37,3
0|12.37.1,15|0,1
7|17,36|7,1
37|12.37.28,12|37.12.37.28,9
12|19.9,6|12,1
37|12.13.25,12|37.12.13.25,3
25|27.3,36|25.27.3,1
25|27.3,24|25.27,1
25|27.3,37|25.27,5
25|27.3,12|25.27,1
30|25.12,10|30,7
30|25.12,4|30.25,2
30|25.12,23|30,1
30|25.12,24|30,1
30|25.12,37|30.25.12,3
37|2.12.36,12|37.2.12.36,3
36|12.37.8,32|36.12.37,4
36|12.37.8,3|36,1
36|12.37.8,1|36.12.37,1
36|12.37.8,18|36,2
36|12.37.8,12|36.12.37.8,1
36|12.37.8,23|,1
36|12.37.8,10|36.12.37.8,1
8|12.37.16,12|8.12.37.16,1
8|12.37.16,37|8,27
8|12.37.16,36|8,8
8|12.37.16,4|8,1
8|12.37.16,18|8,1
8|12.37.16,34|8,1
8|12.37.16,32|8,1
8|12.37.16,11|8,2
12|36.2,36|12.36,3
12|36.2,22|12.36.2,1
12|36.2,37|12.36.2,3
12|36.2,33|12,1
12|36.2,26|12.36,3
12|36.2,8|12.36.2,1
12|36.0.15.25,36|12.36.0.15.25,1
12|37.12.37.4.12.36,5|12,1
12|37.12.37.4.12.36,37|12.37.12.37.4,2
12|37.12.37.4.12.36,23|12,1
19|29,0|19,2
19|29,15|19,1
19|29,37|19,1
37|25.36,12|37.25.36,1
8|36.0,36|8.36.0,1
8|36.0,37|8.36,1
12|26,37|12.26,12
12|26,36|12,5
12|26,26|12,2
12|26,15|12,1
12|26,8|12,1
12|26,4|12,1
12|26,2|12.26,1
12|26,32|12.26,1
12|26,33|12.26,1
12|26,3|12,1
19|12.25.1,20|19.12.25.1,1
37|20.37,12|37.20.37,2
12|36.12.37.12.28,2|12.36,1
12|36.12.13.18,21|12.36,1
12|25.12.16,18|12.25,1
37|12.37.10.4.36,12|37.12.37.10.4.36,1
37|19.22,12|37.19.22,1
13|12.37.9,29|13,1
13|12.37.9,0|13,1
13|12.37.9,37|13.12.37.9,2
13|12.37.9,18|13,1
13|12.37.9,11|13,1
12|37.12.37.30.12.37.4,16|12,1
37|24.2,12|37.24.2,1
19|12.23,36|19,1
12|11.12.11,11|12.11,1
12|33.26.36,8|12,1
12|37.12.15.6,25|12.37.12.15,2
36|18.9,32|36.18,1
36|18.9,12|36.18.9,1
36|18.9,15|36.18,1
36|18.9,11|36.18,1
12|36.0.25,36|12.36.0.25,1
12|36.0.25,21|12.36,1
12|36.0.25,15|12.36,1
33|26.2.12.37.25.12.36,4|33,1
29|12.37.9,37|29,2
29|12.37.9,6|29,1
20|29,37|20.29,3
20|29,2|20,1
30|10.12.37.9,4|30.10.12.37.9,1
36|12.37.33.26.2.36,3|36,1
12|13.12,37|12.13,25
12|13.12,31|12.13,2
12|13.12,25|12.13,15
12|13.12,0|12.13,1
12|13.12,11|12.13,14
12|13.12,29|12.13,1
12|13.12,21|12.13,1
12|13.12,18|12.13,1
12|13.12,36|12,6
12|13.12,13|12.13.12,1
30|,36|30,12
30|,18|30,1
30|,13|30,1
30|,5|30,2
30|,16|30,1
30|,37|30,119
30|,24|30,1
30|,17|30,1
30|,32|30,1
30|,0|30,1
30|,23|30,3
30|,12|30,1
30|,1|30,1
30|,10|30,1
30|,27|30,1
30|,25|30,2
30|,28|30,1
30|,4|30,45
30|,8|30,2
20|12.29,19|20.12.29,1
12|36.20,32|12,1
12|36.20,36|12.36,3
12|36.20,37|12.36.20,22
12|36.20,15|12.36,1
12|36.20,9|12.36,3
12|36.20,19|12.36.20,1
12|36.20,13|12.36.20,1
12|36.20,20|12.36,3
12|36.20,25|12.36.20,1
37|5.12,16|37,1
37|5.12,12|37.5.12,1
22|34,37|22,1
22|34,33|22,1
22|34,28|22.34,53
22|34,12|22,3
22|34,36|22,5
18|11.0,13|18,1
18|11.0,37|18.11,1
12|37.32,17|12.37,9
12|37.32,2|12,1
12|37.32,25|12.37.32,2
12|37.32,9|12.37.32,1
12|37.32,29|12.37,1
12|37.32,33|12.37,1
12|37.32,34|12,1
12|37.32,10|12.37.32,1
12|37.32,37|12.37.32,1
12|37.32,32|12,8
12|37.32,8|12,2
12|37.32,18|12.37,2
12|37.32,20|12.37,1
12|37.32,36|12.37.32,1
12|37.32,22|12.37,3
17|36.24,12|17.36.24,1
12|37.12.37.12.36.17,9|12.37.12,1
12|37.12.37.12.36.17,31|,1
12|37.12.37.12.36.17,22|12.37,1
12|37.12.37.12.36.17,25|12.37.12.37.12.36.17,1
12|37.12.37.12.36.17,8|12,1
12|37.12.37.12.36.17,37|12.37.12,20
12|37.12.37.12.36.17,36|12.37.12,1
12|37.12.37.12.36.17,33|12.37.12,1
30|36.10.25,12|30,1
15|10,37|15,1
36|12.37.12.36,9|36,1
36|12.37.12.36,29|36,1
36|12.37.12.36,19|36,1
36|12.37.12.36,0|36.12,1
36|12.37.12.36,12|36.12.37.12.36,1
36|12.37.12.36,34|36,1
36|12.37.12.36,25|36.12.37,1
36|12.37.12.36,20|36.12.37,1
36|12.37.12.36,7|36.12,1
36|12.37.12.36,15|36.12,1
36|12.37.12.36,11|36.12,1
11|12.37.8,37|11,1
11|12.37.8,18|11.12,1
11|12.37.8,36|11.12.37.8,1
11|12.37.8,3|11,1
7|31,37|7,1
7|31,18|7,3
7|31,25|7,8
7|31,36|7,1
7|31,12|7.31,1
12|37.0.13,29|12.37.0,1
12|37.0.13,9|12.37.0,1
36|9.37,12|36.9.37,1
32|12.37.17,17|32,5
32|12.37.17,25|32.12,1
32|12.37.17,12|32.12.37.17,1
32|12.37.17,34|32,1
25|12.36.24.3,3|25,1
36|12.36.0.15.25,21|36.12,1
37|16.25,5|37,2
37|16.25,23|37,1
37|16.25,12|37.16.25,5
37|16.25,8|37,1
11|25.12.37,37|11,4
11|25.12.37,12|11.25,2
11|25.12.37,36|11.25.12.37,3
11|25.12.37,13|11,11
12|36.7.11,9|12.36,1
37|9.12.9,12|37.9.12.9,1
12|24,30|12,1
12|24,10|12.24,1
12|24,23|12,1
12|24,16|12.24,1
12|24,37|12,4
12|24,27|12,1
12|24,36|12,4
12|24,25|12.24,1
12|24,3|12.24,2
3|12.36,36|3,2
3|12.36,12|3.12.36,1
3|12.36,37|3,5
