source,target,value
36|12,3|36,12
36|12,12|36.12,10
36|12,29|36,15
36|12,15|36,21
37|4,12|37.4,11
6|12.37,20|6.12.37,8
6|12.37,36|6,8
6|12.37,37|6,11
6|12.37,19|6,11
12|6,25|12,8
12|6,37|12.6,45
12|37.12.37.6,37|12.37.12.37.6,78
12|37.12.37.6,9|,30
12|37.12.37.6,36|12,10
12|37.31,37|12.37,66
12|37.31,36|12,11
12|37.31,31|,8
12|37.31,25|12.37,13
12|32,17|12.32,9
12|32,37|12,38
12|37.12.37.21,25|12.37.12.37.21,9
12|37.12.37.21,37|12.37.12.37,102
12|37.12.37.21,19|12,14
16|37,37|16,14
17|12.36,32|17,10
9|8,37|9,9
22|34,28|22.34,53
2|,36|2,12
2|,12|2,14
2|,33|,34
2|,26|2,19
2|,37|2,52
2|,25|2,10
37|31,12|37.31,11
28|22.12.34,37|28,16
36|21,12|36.21,28
15|36,21|15.36,11
15|36,37|15,8
15|36,0|15,12
15|36,36|15,11
37|12.37.12.37.19.6,12|37.12.37.12.37.19.6,8
21|15.0,12|21,10
21|15.0,37|21,25
12|11.12.37,25|12,8
10|30,37|10,24
12|37.12.37.34.28,37|12.37.12.37.34.28,41
37|12.37.12.37.27,12|37.12.37.12.37.27,39
12|37.12.37.24,37|12.37.12.37,31
12|37.12.37.24,10|,10
37|12.36.6,12|37.12.36.6,11
16|,5|16,13
16|,23|,15
16|,25|16,21
16|,12|16,24
16|,37|16,194
16|,36|16,29
12|37.12.37.12.37.19.6,9|,8
37|12.36,12|37.12.36,8
0|15.25,21|0.15.25,15
12|37.12,21|12,13
12|37.12,23|,78
12|37.12,4|12.37.12,10
12|37.12,36|12,1499
12|37.12,5|12.37,24
12|37.12,16|12,34
12|37.12,13|,192
12|37.12,6|12.37.12,9
12|37.12,11|12.37,86
12|37.12,2|12,190
12|37.12,34|12,133
12|37.12,3|,165
12|37.12,19|12,148
12|37.12,32|,234
12|37.12,26|12.37,22
12|37.12,10|,193
12|37.12,0|12,121
12|37.12,17|12,76
12|37.12,15|12,197
12|37.12,31|,296
12|37.12,20|12,80
12|37.12,25|12.37,1271
12|37.12,30|12,34
12|37.12,33|12,39
12|37.12,8|,557
12|37.12,7|,75
12|37.12,22|12.37,147
12|37.12,28|12,8
12|37.12,9|,577
12|37.12,18|,167
12|37.12,37|12.37.12,11745
12|37.12,1|12.37,66
12|37.12,29|12,137
12|37.12,24|12,61
12|37.12,27|12,10
26|33,37|26,14
26|33,2|26,10
36|13,12|36.13,23
15|12,36|15,22
15|12,12|15.12,12
15|12,21|15.12,35
15|12,37|15,38
15|12,0|15,159
15|12,25|,15
37|13,12|37.13,19
37|12.21,12|37.12.21,38
12|37.6,9|12.37.6,23
12|37.6,37|12.37.6,126
0|12.36,37|0,10
0|12.36,12|0,9
36|30,12|36,16
36|30,4|36,12
12|37,4|,41
12|37,36|12,2022
12|37,21|12,26
12|37,23|,126
12|37,37|12.37,8
12|37,6|12.37,8
12|37,5|12.37,8
12|37,16|12,50
12|37,13|,247
12|37,11|12.37,13
12|37,2|12,258
12|37,34|12,164
12|37,3|,246
12|37,19|12,220
12|37,32|,320
12|37,26|12.37,14
12|37,30|12,58
12|37,10|,285
12|37,0|12,179
12|37,17|12,102
12|37,15|12,267
12|37,31|,415
12|37,20|12,113
12|37,25|12.37,63
12|37,9|,854
12|37,33|12,63
12|37,8|,814
12|37,7|,106
12|37,22|12.37,11
12|37,28|12,24
12|37,18|,250
12|37,1|12.37,20
12|37,29|12,210
12|37,24|12,104
12|37,27|12,24
30|12,4|,16
30|12,37|30,29
30|12,12|30,8
30|12,10|30,22
29|1,12|29,11
29|1,37|29,37
29|1,36|29,13
12|37.12.28,37|12.37.12,18
12|37.12.28,25|12.37,9
37|20,12|37.20,20
37|12.6,12|37.12.6,28
12|37.12.37.12.37.12,23|,30
12|37.12.37.12.37.12,4|12.37.12,8
12|37.12.37.12.37.12,6|12.37.12,10
12|37.12.37.12.37.12,37|12.37.12.37.12,4698
12|37.12.37.12.37.12,18|,35
12|37.12.37.12.37.12,13|12.37.12.37.12.37,39
12|37.12.37.12.37.12,3|,59
12|37.12.37.12.37.12,2|12,77
12|37.12.37.12.37.12,34|12,62
12|37.12.37.12.37.12,19|12,50
12|37.12.37.12.37.12,32|,79
12|37.12.37.12.37.12,1|12.37,19
12|37.12.37.12.37.12,26|12.37,11
12|37.12.37.12.37.12,36|12.37.12.37.12.37,560
12|37.12.37.12.37.12,10|,49
12|37.12.37.12.37.12,0|12,42
12|37.12.37.12.37.12,17|12,23
12|37.12.37.12.37.12,15|12,61
12|37.12.37.12.37.12,31|,109
12|37.12.37.12.37.12,20|12,26
12|37.12.37.12.37.12,7|12.37.12.37.12,21
12|37.12.37.12.37.12,16|12,10
12|37.12.37.12.37.12,33|12,10
12|37.12.37.12.37.12,8|,177
12|37.12.37.12.37.12,22|12.37,60
12|37.12.37.12.37.12,11|12.37.12.37,15
12|37.12.37.12.37.12,9|,172
12|37.12.37.12.37.12,25|12.37.12.37,408
12|37.12.37.12.37.12,29|12,46
12|37.12.37.12.37.12,24|12.37.12.37.12.37.12,9
37|12.37.12.37.28,12|37.12.37.12.37.28,9
37|34,12|37.34,8
8|12.36.12.37.12.37.12.37,12|8,8
1|29.12.31,37|1,22
12|31.12.37.25,18|12.31,9
37|19.6,12|37.19.6,22
12|36.11,37|12.36,24
6|20,36|6,36
6|20,37|6,126
6|20,25|6,30
6|20,19|6,50
6|20,12|6,50
6|12.37.12,19|6,9
37|18,12|37.18,15
21|0.15.25,37|21,15
20|12.36,37|20,9
4|36,37|4,9
24|36,36|,8
11|12.37.12.37,13|11.12,9
11|12.37.12.37,12|11.12.37,9
11|12.37.12.37,36|11,8
16|25,37|16,10
36|3,24|36,11
36|3,12|36,9
25|12.37.12.37,2|25,36
25|12.37.12.37,13|25,22
25|12.37.12.37,1|25,15
25|12.37.12.37,18|25,9
25|12.37.12.37,32|25.12.37,39
25|12.37.12.37,8|25,12
25|12.37.12.37,26|25,10
25|12.37.12.37,15|25,30
25|12.37.12.37,36|25,84
25|12.37.12.37,3|25,41
25|12.37.12.37,11|25.12.37,13
25|12.37.12.37,6|25,16
25|12.37.12.37,22|25,22
25|12.37.12.37,23|25,21
25|12.37.12.37,37|25.12,237
25|12.37.12.37,20|25,29
25|12.37.12.37,0|25.12,33
25|12.37.12.37,34|25,60
25|12.37.12.37,31|25,10
25|12.37.12.37,9|,8
25|12.37.12.37,17|25,22
25|12.37.12.37,12|25.12.37.12.37,10
25|12.37.12.37,19|25,24
25|12.37.12.37,29|25,36
25|12.37.12.37,10|25,28
36|20,19|36,9
36|20,6|36,8
36|20,12|36.20,22
13|36,37|13,20
13|36,12|13,9
37|12,5|,9
37|12,12|37.12,75
37|12,3|,8
25|10,30|25,8
12|36.18,37|12.36,34
12|20,37|12,26
12|20,6|,9
30|10.12.36,4|,13
34|25,37|34,22
34|25,28|34,12
34|25,12|34,12
34|25,22|34,37
34|25,36|34,10
13|12.36.25,37|13,8
26|25,33|26.25,8
12|21,37|12.21,53
12|21,0|12,9
12|21,25|12,9
12|30,37|12,22
25|12.37,4|,11
25|12.37,2|25,63
25|12.37,13|25,44
25|12.37,1|25,22
25|12.37,16|25,11
25|12.37,29|25,57
25|12.37,18|25,18
25|12.37,33|25,18
25|12.37,6|25,21
25|12.37,8|25,17
25|12.37,26|25,15
25|12.37,15|25,50
25|12.37,22|25,29
25|12.37,36|25,162
25|12.37,3|25,59
25|12.37,11|25.12.37,11
25|12.37,32|25.12.37,44
25|12.37,23|25,32
25|12.37,37|25.12,406
25|12.37,20|25,41
25|12.37,0|25.12,49
25|12.37,34|25,75
25|12.37,12|25,214
25|12.37,31|25,18
25|12.37,30|25,13
25|12.37,9|,10
25|12.37,19|25,33
25|12.37,17|25,33
25|12.37,10|25,49
19|9,20|19,21
25|3,24|25,10
25|12.37.1,15|25,8
22|,28|,363
22|,34|22,9
22|,36|22,8
22|,37|22,38
22|,25|,12
22|,12|22,8
3|25,24|3,51
3|25,37|3,9
37|22,12|37.22,19
25|6,37|25,17
28|34,22|28,12
28|34,37|28,16
3|12.36,24|3,14
37|12.37.21,12|37.12.37.21,102
12|37.11,37|12.37,94
12|37.11,36|12,15
12|37.11,13|,10
12|37.11,25|12.37,14
6|19,36|6,9
6|19,20|6.19,23
6|19,37|6,19
6|19,12|6,14
25|12,4|,11
25|12,28|25,9
25|12,2|25,72
25|12,13|25,58
25|12,1|25,30
25|12,30|25,15
25|12,3|25,69
25|12,20|25,48
25|12,18|25,24
25|12,33|25,20
25|12,8|25,22
25|12,26|25,17
25|12,15|25,54
25|12,22|25,35
25|12,36|25,211
25|12,9|,11
25|12,5|,8
25|12,11|25,40
25|12,6|25,21
25|12,23|25,34
25|12,37|25.12,580
25|12,0|25.12,12
25|12,34|25,82
25|12,12|25,286
25|12,31|25,20
25|12,7|,12
25|12,16|25,12
25|12,29|25,74
25|12,32|25,67
25|12,19|25,36
25|12,24|25,11
25|12,17|25,38
25|12,10|25,55
12|37.19.6,37|12.37.19.6,22
12|37.19.6,9|,13
12|25,29|12.25,15
12|25,0|12,8
12|25,13|12.25,8
12|25,25|12,9
12|25,23|,9
12|25,10|,17
12|25,36|12,49
12|25,15|12,12
12|25,31|,12
12|25,37|12,194
12|25,3|12.25,9
12|25,9|,8
12|25,34|12,18
12|25,18|,12
12|25,19|12,11
12|25,2|12,11
12|25,11|12,11
12|25.34,37|12,12
12|25.11,37|12,12
0|12,15|0,45
0|12,36|0,41
0|12,12|0,44
0|12,21|0.12,19
0|12,37|0,68
0|12,25|,9
12|37.8,8|,95
12|37.8,36|12,69
12|37.8,3|,9
12|37.8,18|,11
12|37.8,32|,8
12|37.8,37|12.37.8,382
12|37.8,9|,11
12|37.8,25|12.37.8,8
20|25,6|20.25,13
0|25.12,15|0,12
0|25.12,12|0,11
0|25.12,36|0.25,12
25|34,12|25.34,12
25|34,22|25,10
25|34,37|25,35
25|34,36|25,8
36|19,20|36.19,12
36|19,12|36.19,24
12|37.12.16,37|12.37.12.16,17
12|36.6,37|12.36.6,25
25|12.31,29|25,10
25|12.31,37|25.12,13
7|,31|7,12
7|,36|7,46
7|,37|7,116
