student_assignment_grade,struc0,struc1,struc10,struc11,struc12,struc13,struc2,struc3,struc4,struc5,struc6,struc7,struc8,struc9
student30_Prompt10_1.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
student31_Prompt8_1.0,1,0,0,2,0,0,0,0,7,1,0,3,0,1
student31_Prompt2_1.0,0,1,0,2,0,0,0,1,8,0,1,1,0,0
student31_Prompt9_1.0,0,0,1,3,0,0,1,2,4,2,0,2,0,2
student31_Integration3_1.0,1,0,3,5,0,0,0,2,16,2,0,5,0,3
student31_Prompt11_1.0,0,0,0,0,2,0,0,0,7,0,0,0,0,1
student31_Prompt4_1.0,0,0,0,2,0,2,1,0,8,0,0,2,0,0
student31_Prompt6_1.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
student32_Capstone_1.0,0,1,1,2,0,0,0,0,5,0,0,1,0,0
student32_Prompt7_1.0,3,1,0,4,0,0,1,2,9,0,0,5,0,0
student32_Prompt9_1.0,0,1,1,2,0,0,0,0,5,0,0,3,0,0
student32_Prompt3_1.0,0,0,0,1,0,1,0,0,5,0,0,3,0,0
student32_Prompt8_1.0,0,0,0,2,1,0,0,1,3,1,0,1,0,1
student32_Prompt2_1.0,1,0,1,1,0,0,0,1,2,0,0,0,0,0
student32_Prompt6_1.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
student33_Prompt9_1.0,0,0,0,1,0,0,0,0,4,0,0,1,0,0
student33_Prompt5_1.0,1,1,0,2,0,0,0,1,9,0,0,6,1,1
student33_Prompt4_1.0,0,0,0,1,0,1,0,0,7,1,0,2,0,0
student33_Prompt3_1.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
student33_Prompt2_1.0,0,1,0,2,0,0,0,3,8,0,1,2,0,0
student33_Prompt6_1.0,1,4,2,9,1,0,1,0,19,3,1,9,0,4
student33_Integration3_1.0,2,0,1,4,0,0,0,0,11,0,0,5,1,0
student33_Prompt10_1.0,2,1,2,3,0,0,0,0,10,0,0,8,0,0
student34_Prompt7_1.0,0,0,0,1,0,0,0,0,4,0,0,1,0,0
student34_Prompt5_1.0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
student34_Prompt8_1.0,1,1,0,1,0,0,0,0,6,0,0,4,0,1
student34_Prompt3_1.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
