source,target,value
40|18.24,18|40.18.24,0.5757575758
21|20,18|21,0.1351351351
21|20,29|21.20,1
21|20,100|,0.5
20|29.18,21|20.29,1
37|20,20|37,1
12|14.18,18|12,0.4375
12|14.18,28|12,0.5625
6|36,30|6.36,1
37|12,12|,1
12|11,36|12,1
18|28,40|,1
18|28,40|18.28,1
1|36,18|1,1
29|14,20|29.14,1
19|36,3|,1
30|6.18,2|30,1
18|26,40|18.26,1
18|26,40|,1
4|14,17|4.14,0.7666666667
14|8,18|14,0.619047619
14|8,22|14,0.380952381
40|32,32|,1
34|14,7|34,0.8846153846
34|14,18|34,0.1153846154
40|18.11,18|40.18.11,1
29|20.18,100|,0.4838709677
29|20.18,21|29,0.5161290323
36|15.13.18,15|36.15.13.18,1
36|32,32|,1
36|1,1|,1
36|1,1|36,1
18|31.36,40|18.31.36,1
36|26,26|,1
4|,17|4,1
4|,18|,1
4|,14|4,1
4|,18|4,1
4|,17|,1
4|,31|,0.0875576037
4|,36|4,1
4|,39|4,1
4|,40|4,1
4|,31|4,1
4|,100|,0.0707070707
27|18,18|27,0.6
27|18,1|27,0.4
6|18.40,30|6.18.40,1
40|18.12,18|40.18.12,1
29|21.18,20|29.21,1
25|18,5|25.18,1
25|18,5|25,0.6813559322
25|18,14|25.18,1
25|18,18|25,0.0881355932
25|18,100|,0.1084745763
23|40,18|23,1
18|40.18.28,100|,1
37|13,13|,1
5|25,14|5.25,1
5|25,36|5,0.2200647249
5|25,100|,0.5177993528
5|25,18|5,0.7307692308
5|25,18|5.25,1
18|40.18.14,27|18.40,0.06875
18|40.18.14,32|18.40,1
18|40.18.14,25|18,0.3695652174
18|40.18.14,8|18,0.1625
18|40.18.14,22|18,0.08125
18|40.18.14,5|18,0.1413043478
18|40.18.14,1|18,0.140625
18|40.18.14,100|,0.2173913043
18|40.18.14,0|18.40.18.14,1
18|40.18.14,13|18,0.4545454545
18|40.18.14,8|,0.1625
18|40.18.14,24|18,0.2575757576
18|40.18.14,14|18.40.18.14,1
18|40.18.14,11|,0.2272727273
27|18.40,14|27,0.2555555556
27|18.40,0|27,0.1222222222
27|18.40,1|27.18.40,1
27|18.40,18|27,0.2
27|18.40,100|,0.1444444444
40|18.14.22,18|40.18.14.22,0.3157894737
39|12,12|,1
18|3,36|18,0.1604938272
18|3,40|18.3,1
18|3,40|,1
18|3,100|,0.2592592593
19|3,26|19,1
22|11,1|22,1
18|17,40|18.17,1
18|17,36|18,0.4642857143
40|18.14.3,18|40.18.14.3,1
18|1.18,40|18.1.18,1
39|25,25|,1
26|3,19|26.3,1
18|40.18.5.36,100|,1
18|40.18.14.3,100|,1
36|14.27,14|36.14.27,1
2|18.40,18|2.18,1
32|23,33|32,0.4782608696
32|23,100|,0.5217391304
14|4,17|14,1
30|14,2|30,1
14|7,100|,1
18|40.18.0,0|18.40,1
18|40.18.0,100|,1
30|6.2,18|30.6.2,1
30|6.2,100|,0.7083333333
18|40.18.2.18,100|,1
18|40.18.2.18,6|18.40.18.2,1
1|27.18.40,14|1.27,1
26|18,19|26,0.7586206897
26|18,18|26,0.2413793103
13|18,14|13,0.0462962963
13|18,15|13.18,0.3333333333
13|18,18|13,0.6666666667
13|18,100|,0.0300925926
40|18.22.18,18|40.18.22.18,1
36|23,23|,1
29|20,21|29,0.2010582011
29|20,18|29,0.1560846561
29|20,14|29,0.1560846561
29|20,100|,0.4867724868
40|18.34,18|40.18.34,1
40|18.14.31,18|40.18.14.31,1
1|18.40.18.11,12|1,0.4761904762
1|18.40.18.11,22|1,0.5238095238
12|18,14|,0.0942028986
12|18,28|12,0.384057971
12|18,9|12.18,1
12|18,18|12.18,1
12|18,18|12,0.2028985507
12|18,100|,0.0869565217
40|18.22.8,18|40.18.22.8,0.3484848485
18|22,14|18.22,1
18|22,40|18.22,1
18|22,38|18,0.0393700787
18|22,37|18,0.0472440945
18|22,36|18,0.094488189
18|22,8|18.22,1
18|22,40|,1
18|22,39|18,0.0551181102
15|18.40,18|15,1
18|14,12|18,0.0961538462
18|14,34|18,0.0924369748
18|14,21|18,0.1176470588
18|14,40|18.14,0.8403361345
18|14,38|18,0.0210084034
18|14,37|18,0.0441176471
18|14,8|18.14,1
18|14,28|18,0.0897435897
18|14,13|18,0.1279069767
18|14,40|,0.7745098039
18|14,39|18,0.0833333333
18|14,0|,0.0838323353
18|14,26|18,0.126984127
18|14,34|,0.0924369748
18|14,2|18,0.1083333333
18|14,25|18.14,1
18|14,22|18,0.0231092437
18|14,36|18,0.0693277311
18|14,100|,0.1666666667
18|14,39|18.14,1
18|2.18,36|18,0.2222222222
18|2.18,40|18.2.18,1
14|5.18,25|14,1
37|18,18|37,1
37|10,10|,1
9|18,18|9.18,0.3846153846
9|18,100|,0.6153846154
31|14,4|31,0.6
31|14,18|31,0.4
25|5,18|25,0.3214285714
25|5,100|,0.6785714286
37|22,22|,1
